Transitions correctness: true

Transitions (271):
d03a45f91f406aa359971050d0313e2f71e897f8fd79bf6436d1e074b8066886: (s:21c267ef898a5960eea0d8cc0c93ea6eb54b46d154921ccbd6255d36be1f406f,t:7a79cb19b894de7fec3a2acfe84bc0c32d9c02fbff8a9f4807313349ecc173ea): [id=null, ex=0, sq=0, act=(6) open app, cp=null, txt=, exp=, tr=null] weight=1.0 ds=CS sc=null ex=0
cb054c8bc9643feb912042c1b84be09a684f09047f79c08e52ee15d83426d98f: (s:21c267ef898a5960eea0d8cc0c93ea6eb54b46d154921ccbd6255d36be1f406f,t:8a0989d52532b67b2bb0844a359fcd554c181be1166882c9a54b95987999d863): [id=null, ex=0, sq=0, act=(6) open app, cp=null, txt=, exp=, tr=null] weight=2.0 ds=TR sc=null ex=0
49cfae62da025ba711eaee11e1b900ba2103a1adfa41130d97ca5f044e7b8974: (s:21c267ef898a5960eea0d8cc0c93ea6eb54b46d154921ccbd6255d36be1f406f,t:653507b3b83829241b2870896117a9f20e211f27e6e887f47e1f6a727260e8cf): [id=null, ex=1, sq=0, act=(6) open app, cp=null, txt=, exp=, tr=null] weight=2.0 ds=TR sc=null ex=1

2718f817d47eea04ccc91afb35091a859940ea54f946b96613771c341a02e503: (s:0139f533849a827799ebfbd55d9fc76134719e376685c9704a11e876ef57c912,t:a236ec4180141e650e28b8317762283ee28ae8284321030db940246f80319967): [id=12, ex=0, sq=13, act=(0) click, cp=[, ty=HorizontalScrollView, idx=horizScroller, idnx=32, tx=, x=87, y=261, h=1533, w=993, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.1.nerd.tuxmobil.fahrplan.camp_1.32.2_camp201513_augmented.png ex=0

deb0688478d6923419e49a07cd697d1b0fadea0d9dc5fef6a987715ddfe62192: (s:a236ec4180141e650e28b8317762283ee28ae8284321030db940246f80319967,t:3cc9119328d0d97a0cff4b04a300fcfa2bc0c23ae00e4593969448a442ddb330): [id=13, ex=0, sq=14, act=(20) swipe up, cp=null, txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.1.nerd.tuxmobil.fahrplan.camp_1.32.2_camp201514_augmented.png ex=0

57457bc5769817f6e88577cdbf2e417c563f90fc2a864617e96c29697593824c: (s:3cc9119328d0d97a0cff4b04a300fcfa2bc0c23ae00e4593969448a442ddb330,t:3cc9119328d0d97a0cff4b04a300fcfa2bc0c23ae00e4593969448a442ddb330): [id=14, ex=0, sq=15, act=(20) swipe up, cp=null, txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.1.nerd.tuxmobil.fahrplan.camp_1.32.2_camp201515_augmented.png ex=0
904293209b4129c2b03b34439e57ba019e186df717b41970420cf51e02270853: (s:3cc9119328d0d97a0cff4b04a300fcfa2bc0c23ae00e4593969448a442ddb330,t:7574d821251eb56d5ec11a6a0a468ad5845471500b048a512734e08cf4ce2f46): [id=15, ex=0, sq=16, act=(0) click, cp=[, ty=TextView, idx=item_fav, idnx=2, tx=, x=723, y=73, h=126, w=126, dsc=Add to favorites], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.1.nerd.tuxmobil.fahrplan.camp_1.32.2_camp201516_augmented.png ex=0

bc38ecc4073f878d74abb6c240478aef54a15d9ac3825791a8f0e8e218ccd630: (s:7574d821251eb56d5ec11a6a0a468ad5845471500b048a512734e08cf4ce2f46,t:61fce091e03fbaa3524926870fa3c9f6233cb3d9e87351b398225aca9a90b7ae): [id=16, ex=0, sq=17, act=(0) click, cp=[, ty=TextView, idx=item_set_alarm, idnx=3, tx=, x=849, y=73, h=126, w=126, dsc=Set alarm], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.1.nerd.tuxmobil.fahrplan.camp_1.32.2_camp201517_augmented.png ex=0

9c2d3da61c21520f8d3b85ae22e06ef370dee6ea4c0bbc9a3c1ec096e8f484b2: (s:61fce091e03fbaa3524926870fa3c9f6233cb3d9e87351b398225aca9a90b7ae,t:e915a9cff44ab112474b8531e67cae099e8506c602242330dbeb0dfc4ca1ca0e): [id=17, ex=0, sq=18, act=(0) click, cp=[, ty=Spinner, idx=spinner, idnx=1, tx=, x=132, y=882, h=63, w=816, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.1.nerd.tuxmobil.fahrplan.camp_1.32.2_camp201518_augmented.png ex=0
710840b0bd3f1e6854525b43f580214c689fd7053524b462b798bb02e48874e3: (s:61fce091e03fbaa3524926870fa3c9f6233cb3d9e87351b398225aca9a90b7ae,t:13ef6f9c8b7933bfcf48ac0ad62e854876b051d919f1d7eeae4d560c2853e200): [id=19, ex=0, sq=20, act=(0) click, cp=[, ty=Button, idx=button1, idnx=3, tx=OK, x=811, y=1019, h=126, w=168, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.1.nerd.tuxmobil.fahrplan.camp_1.32.2_camp201520_augmented.png ex=0

45e80282cc1a7e88feae99b615ed3817d15c1da421c5a7fe71761c3fbae1452b: (s:13ef6f9c8b7933bfcf48ac0ad62e854876b051d919f1d7eeae4d560c2853e200,t:59e4bcc2b4fbc76fd644506986db0519f4f802e36af4b099168ceb78fd2d07ba): [id=20, ex=0, sq=21, act=(0) click, cp=[, ty=KeyButtonView, idx=BACK_MODAL, idnx=0, tx=, x=1023, y=133, h=0, w=0, ], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.1.nerd.tuxmobil.fahrplan.camp_1.32.2_camp201521_augmented.png ex=0

